bn_phrases
"হাজী মফিজুর রহমান জামের মসজিদ পাঠাগার, "
লোকনাথ আশ্রম রোড​ আনোয়ারা
"টঙ্গী পোস্ট অফিস, "
"নবাবগঞ্জ প্রধান সড়ক, "
"গল্লামারী, "
"নড়িয়া, "
"এমইএস বাস স্টপ, "
"বসুরহাট, "
"কাদের বিরিয়ানী, "
"সাটুরিয়া - বালিয়াটী সড়ক, "
"মেসার্স আল-নুর হার্ডওয়ার ষ্টোর, "
"গাউছিয়া হোটেল এন্ড বিরানী হাউস, "
"পানদীঘি, "
"সবরূপকাঠী-ালকাঠী সংযোগ সড়ক, "
"মাওয়া-ভাঙ্গা এক্সপ্রেসওয়ে, "
"বিজ্ঞান ভবন, "
"চর বাকিলা, "
তিতাস গ্যাস রোড
"কসাইটুলী, "
"জিরাবো, "
"তাড়াশ ডিগ্রী কলেজ, "
"মেডিকেল সেন্টার, "
"তিরনইহাট, "
"কাউখালী বাসস্ট্যান্ড, "
"মেঘুলা, "
শিমলতলা- অরজনদাহ
"রাধাচর, "
"শরৎ চন্দ্র চক্রবর্তী সড়ক, "
"লনত বরিজ, "
"হাজীরহাট বাজার, "
"উত্তর বাঘইল, "
"বায়তুন নুর জামে মসজিদ, "
"ফজলুল করিম গলি, "
"পূবালী ব্যাংক লিমিটেড শাহবাগ শাখা, "
"পল্লবী থানা, "
"দক্ষিণ খান, "
"আন্তর্জাতিক ইসলামী বিশ্ববিদ্যালয় চট্টগ্রাম, "
"কড়াগাছা - মমিনপর সড়ক, "
তাড়াশ বাস স্ট্যান্ড
নতুন চাক্তাই সড়ক
"দড়াটানা ব্রিজ পিরোজপুর - বাগেরহাট মহাসড়ক, "
"নৈকাঠী প্রাথমিক বিদ্যালয় এবং সাইক্লোন সেন্টার, "
"হাজি হালিম সুপার মার্কেট, "
"সড়ক ৭, "
"খাগড়াছড়ি সরকারি কলেজ, "
"সিটি সকল গলি, "
"সাগরিকা গরু বাজার, "
"ষাট গম্বুজ, "
"বগড়া, "
"উত্তর বাড্ডা, "
"নায়েত নগর - মাসতান বাজার সড়ক, "
নয়া বাজার বিশ্বরোড
"বাইতুল আতিক জামে মসজিদ, "
"বন ভবন বাংলাদেশ বন বিভাগ, "
"ইউনাইটেড ইন্টারন্যাশনাল ইউনিভার্সিটি খেলার মাঠ, "
"শেখপাড়া, "
"বাংলাদেশ সড়ক পরিবহন কর্তৃপক্ষ, "
"ঈদগাহ শাহী জামে মসজিদ, "
"শরীমঙগল উপজেলা, "
"সিংড়া পৌরসভা, "
"ঢাকা ব্যাংক লিঃ, "
"আমান বাজার, "
"গাছতলা ঘাট সড়ক, "
"মধ্য রসুলপুর ৩ নং গলি আলোড়ন গলি, "
বীর মকতিযোদধা মোহামমাদ নরল হক সড়ক
"স্ট্যান্ডার্ড ব্যাংক লিমিটেড, "
"ভরিয়া আদর্শ ক্যাডেট স্কুল, "
"আমিরপুর, "
"জনপ্রিয় গোস্ত বিতান, "
"ভৈরব, "
ধাপ সাতগাড়া মাদরাসা রোড
"মামা হোটেল, "
"শ্রুরিধর জামে মসজিদ, "
"চর মট্‌কী, "
"কয়লা বাজার জামে মসজিদ, "
"পশ্চিম সড়ক, "
"আদর্শ মহিলা মাদ্রাসা, "
"পুরাতন জেলখানা, "
"ভিআইপি গলি, "
"সেক্টর ৪ পার্ক, "
"হবিগঞ্জ কেন্দ্রীয় ঈদগাহ, "
"জামালপুর- সরিষাবাড়ী সড়ক, "
"হেলাল সরকার মার্কেট, "
"ভবানীপুর কেন্দ্রীয় মসজিদ, "
"স্বরূপকাঠী লঞ্চ ঘাট, "
শিয়ালী শেখপুরা গাংনী রোড
"শাহ মখদুম বিমানবন্দর, "
খুলনা-যশোর মহাসড়ক
"খাসকররা আলমডাঙগা সড়ক, "
"গলশান বাডডা লিংক রোড, "
"টোনা ইউনিয়ন, "
"বেলতৈল, "
"স্মৃতিধারা কেন্দ্রীয় জামে মসজিদ, "
"চাটমোহর - তেবনিয়া রোড, "
বাবর রোড
"জাতীয় সংসদ, "
"ডাঙগার হাট - গহরপর সড়ক, "
"ফ্রেন্ডস ক্লাব মাঠ, "
"সেতি নারায়ণপুর, "
"শেরপুর সড়ক, "
"হমায়ন রোড, "
"পাগলপাড়া বাজার, "
"মোললার টেক সকল সড়ক, "
"সেক্টর ১৩, "
"মাদারটেক আব্দুল আজিজ উচ্চ বিদ্যালয়, "
"ইস্তা সাঁকো জামে মসজিদ, "
"২নং বারাসাত ইউনিয়ন পরিষদ তেরখাদা খুলনা, "
কঠিবয়রা মধযপাড়া রাসতা
"জাকির মেডিকেল হল, "
"মাল্টিমিডিয়া কিংডম, "
আবদলের মোড় ট মধপর ইউনিয়ন তেরখাদা
"ভৈরব উপজেলা, "
"বুড়িগঙ্গা শহর শপিং কমপ্লেক্স, "
"চট্টগ্রাম বোট ক্লাব, "
"মোর্শেদ আনোয়ারা ফিলিং স্টেশন, "
"কেল্লার পুকুর, "
"আইসিবি ইসলামি ব্যাংক, "
"তেরখাদা উপজেলা, "
"আমলিগোলা, "
কাঁঠালতলা
"আবুল কালাম ষ্টোর, "
বড়য়া পাড়া সনদরপর রোড নড আজিমপর রোড সংলগন ছাগইলযাপাড়া রোড
"হাজী ইজজত আলী মনসী বাড়ী সড়ক, "
"পলাশী বাজার জামে মসজিদ, "
"দ্বিতীয় লেন, "
"ভুঁইয়ারা, "
"ঢাকা কলেজ ফুটবল মাঠ, "
"ব্রাক অফিস, "
"দারুস সালাম মসজিদ, "
"কসাইটলী লযান, "
"মেহেরপর জেলা, "
"মধুখালী রেলগেট জামে মসজিদ, "
"মন্টুমিয়া হোটেল এন্ড রেস্টুরেন্ট, "
"সৈয়দ নজরুল ইসলাম সেতু, "
"ভাসা, "
চুটলিয়া মোড়
"হোটেল মেলোডি, "
"হারুলিয়া, "
"বাংলাবাজার কৃষি ব্যাংক, "
"মল্লিকপুর লক্ষীগঞ্জ উচ্চ বিদ্যালয়, "
"মার্কেন্টাইল ব্যাংক, "
"লিটল এঞ্জেল সেমিনারি, "
"আশা, "
"সৈয়দপর - নীফামারী সড়ক, "
"প্রগতি সরণী, "
"খান্দারপাড় - শ্রীনিবাসকাঠী, "
"সলতানগঞজ সড়ক, "
কলেজ সড়ক
"ফেচুয়ালেজিল, "
"মুক্তিযোদ্ধা নয়াপাড়া সরকারি প্রাথমিক বিদ্যালয়, "
"বগুড়া জেলা সুইমিং পুল, "
"চন্ডালভোগ, "
"ট্রাস্ট ব্যাংক এ এটি এম, "
"আল-আমিন মসজিদ, "
"সারভিস সড়ক, "
"শুয়ারা, "
"শিবলি টি স্টল, "
"কাঁঠের ঘর বাজার, "
"হাগুড়ার ডাগ্ঙা সরকারি প্রাথমিক বিদ্যালয়, "
"বড় বাজার চাঁদনী, "
"চর মেয়াশা, "
"পোড়াদিয়া, "
"মদনা, "
"বাসাইল থানা, "
"সোমালীদেব লেন, "
"বাইছড়ি, "
"ম্যাচ ফ্যাক্টরি গলি, "
"মনসিহাটি সড়ক, "
"বাইনতলা, "
করোনেশন আদরশ উচচ বিদযালয় রোড
বালুরমাঠ রোড
"বাইতুল মামুর মাদ্রাসা কমপ্লেক্স, "
"নস সড়ক, "
"যমুনা ব্যাংক লিমিটেড নওগাঁ শাখা, "
"নলিয়ান, "
মহিনন্দ চরপাড়া- উত্তরপাড়া মধ্যবর্তী ব্রিজ
"নাবিল ফার্মা, "
"দি লিজন কোচিং সেন্টার, "
"তাহিরপুর, "
ইখড়ি নেবুদিয়া ওয়াবদা রোড
"কীন বরিজ, "
"শাহজাহানপুর, "
"মধয মোমিনবাগ সড়ক, "
তেরখাদা টু সাচিয়াদাহ গোপালগঞ্জ রোড
"ইন্দিরা রোড, "
"সাগর দীঘি বালুর ঘাট, "
"পুরাতন পানির ট্যাংকি, "
"সেবিকা মেডিকেল হল, "
"ভেড়ামারা - কুচিয়ামোড়া সড়ক, "
"ঘোড়াখালী, "
কসতা-মশিগাড়ি ঈদগাহ মাঠ রোড
"মানিক কাঁচ ঘর, "
"বেলিফুল, "
"বাইতুল আমিন জামে মসজিদ, "
"ইদিলপর ইউনিয়ন, "
"বিকাশ প্লাস চকোরিয়া, "
"দশমিনা দাওয়াখানা, "
"স্টার লাইট প্রি ক্যাডেট স্কুল, "
"আশা বেকারী, "
"কাছিকাটা, "
"খেজুর বাগান জামে মসজিদ, "
"আজমপুর, "
"রাজেন্দ্র কলেজ সড়ক, "
"কাউয়াটিকড়ি, "
"বড়বাড়ী, "
"সড়ক ১০এ, "
"আনোয়ার মামার টং, "
"শৌচাগার, "
"খাগাউরা এড়ালিয়া ইসলামিয়া সুন্নিয়া দাখিল মাদ্রাসা, "
"পরশুরাম মডেল থানা, "
"বাবুল সাহেবের গলি, "
"মাির চর বরিজ, "
মহিউদদিন মারকেট
গেণ্ডারিয়া নতুন রাস্তা
তৃতীয় শীতলকষযা সেত
"রাজশাহী কোর্ট রেলওয়ে স্টেশন, "
"হোটেল আল-জিহাদ, "
"কমদিনি হাসপাতাল সড়ক, "
"বগাচতর, "
"সেক্টর ৮, "
"বিএনপি বাজার-আগারগাঁও পানির ট্যাংকি রোড, "
"ফিনিক্স বিল্ডিং, "
কইন কোয়ারটার রোড
"মাদলা, "
"জাহাজমারা মহিলা দাখিল মাদরাসা, "
"সেন্ট মার্টিনস দ্বীপের ফেরি ঘাট, "
"টোল প্লাজা আশুগঞ্জ, "
"সড়ক ১৬/, "
"আজিমপুর রোড, "
"ব্র্যাক ব্যাংক লি হাটহাজারী শাখা, "
"উত্তর আলগি, "
"ঝটপট, "
"রুপাতলী ফিলিং স্টেশন, "
"ঝালকাঠি টেকনিক্যাল স্কুল ও কলেজ, "
"উপ পরিচালেকর কার্যালয় খামারবাড়ী মাগুরা, "
"সিংড়া উপজেলা পোস্ট অফিস, "
বাড়ি পাড়া হাড়ী পাড়া সড়ক লিংক সইস গেইট সড়ক
"দৈহারী ইউনিয়ন, "
"নিমতলা বাজার, "
"মুড়াইছড়া ইকোপার্ক, "
"যশোর-বেনাপোল মহাসড়ক, "
"কোমরপুর সেতু, "
"কুয়েত বাংলাদেশ মৈত্রী হাসপাতাল, "
"কমারখালী উপজেলা, "
"শাহজালাল ইসলামী ব্যাংক মহাখালী শাখা, "
"জেলা পরিষদ স্কুল ও কলেজ, "
"চৌধুরীহাট, "
"স্টাফ কোয়ার্টার সরকারী প্রাথমিক বিদ্যালয়, "
"বানদ রোড, "
"ইউল্যাব ক্যাফেটেরিয়া, "
"িনাইদহ জেলা, "
"কেন্দ্রীয় জামে মসজিদ, "
"শ্রীনারায়ণপুর, "
ননদপা
"মৌলভী আব্দুর রশীদ মার্কেট, "
"কুটুম রেস্তরা, "
"মাদ্রাসা গলি, "
"শেখ মজিব সড়ক, "
"সুবল দাশ সড়ক, "
"রেলওয়ে মসজিদ, "
"আলেকানদা সড়ক, "
"কুতৈয়া, "
"নিকেরী পাড়া জামে মসজিদ, "
"পিরোজপর - কড়াগাছা সড়ক, "
"রামপুরা গোলাপ চত্বর, "
গড়িয়ারপার
"ক্যাবল সল্যুশন, "
"ইলিয়টগঞ্জ, "
"সড়ক ১৩০, "
"ওয়াসা রোড, "
"বেসিক ব্যাংক এটিএম, "
"ডালিয়া বড়খাতা সড়ক, "
"চৌবাড়িয়া, "
"সড়ক ৭ সেকটর ১, "
পরান বনদর সড়ক
"মুন্সী বাড়ী সড়ক, "
"মেসার্স পলি কনস্ট্রাকসন, "
"সেন্ট্রাল হসপিটাল লিমিটেড, "
"এনসিসি ব্যাংক লিমিটেড, "
"তিস্তা সেতু, "
"হোটেল, "
"দোহাজারি, "
"সড়ক ১৫ সেকটর ১, "
"চায়ের দোকান চায়ের দোকান, "
"ফরিদাবাদ পরধান সড়ক, "
"আদর্শ পলিটেকনিক হোস্টেল, "
"নওয়াপাড়া রেলওয়ে স্টেশন, "
"অনা ফ্যাশন, "
"ভাটিয়ারী - হাটহাজারী সংযোগ সড়ক, "
"সুলতানগঞ্জ সড়ক, "
"মকিমপুর, "
"পূবালী ব্যাঙ্ক লিমিটেড, "
"কেন্দ্রীয় মাঠ, "
"পয়ালী, "
"আই ব্লক সড়ক ৬, "
"লোহাগাড়া, "
"রিকাবি বাজার- সিপাহীপাড়া সড়ক, "
"নলাম, "
"মেট্রোপলিটন হোটেল, "
"কুপতলা-সাদুল্লাপুর সড়ক, "
"আড়ংঘাটা, "
"জিয়া উদ্যান মসজিদ, "
"কামরাঙ্গীরচর বেড়িবাঁধ, "
"চটটগরাম-কাপতাই মহাসড়ক, "
"জুরাইন, "
গোরসথান সড়ক
"সটরযানড রোড, "
"প্রশাসনিক ভবন, "
"তৃপ্তি হোটেল এন্ড রেস্টুরেন্ট, "
"মুন্সিহাটি, "
"ষাটনল, "
"কলাব রোড, "
"বাঘমারা, "
"একতা পরিবহন, "
"ইবনে আব্বাস রহমতুল্লাহ ইন্সটিটিউট, "
"দৈনিক পটুয়াখালী বার্তা, "
"সায়েম ফার্মেসি, "
"জিয়া কলোনি সড়ক, "
"শাহী মস্জিদ, "
"আব্বাস জামে মসজিদ, "
"বুরহানপুর, "
"সেক্টর ৩ সড়ক ১০, "
"হালুয়াঘাট, "
"গজমহল, "
"পাইকপাড়া সড়ক, "
"নূর মসজিদ লেন, "
"সাতকুল ভাটার প্রথম সেতু, "
"পল্লবী মেট্রোরেল স্টেশন, "
"পেঁচার দ্বীপ, "
"মুজিব লাইব্রেরি, "
"লিলি বিউটি পার্লার, "
"মাহিয়া ফার্মেসী, "
"গাজীপুরা, "
"মোহাম্মদিয়া ইলেক্ট্রিক, "
"রপালি গারডেন সড়ক, "
"খাবার পানি, "
"রাজু হোমিও হল, "
জ়াব্দীপুর রোড
"গণশাইপুর, "
"আনছার আলী ছেরাং ফোরকানিয়া মাদ্রাসা, "
"চৌধুরী বাজার, "
"আলুতলা, "
"আলাওল জামে মসজিদ, "
বি আর টিসি বাস স্টপ
"বায়তুল ফালাহ মসজিদ, "
ফরাজি বাড়ি রাস্তা
"রুপালি ব্যাংক লিমিটেড, "
"শুভেচ্ছা কমিউনিটি সেন্টার, "
"খাজুরা, "
"হাকামতা, "
"ভাঙ্গুড়া স্বাস্থ্যসেবা, "
"নিজামবাগ মূল সড়ক মনির চেয়ারম্যান গলি চেয়ারম্যান গলি, "
"রুদ্রগাঁও, "
"বাজাজ সার্ভিস সেন্টার, "
"বাউনিয়া, "
"খৃষটানপাড়া সড়ক, "
"নবীনগর হাউজিং, "
"বালুরঘাট সড়ক, "
"হলদিয়া, "
"রূপনগর ৩ নং সড়ক সংলগ্ন গলি, "
"স্ট্যান্ডার্ড ব্যাংক, "
"অঘোর মালঞ্চা, "
"আমরাজড়ী রোড, "
"হোটেল আম, "
"শেখপাড়া রোড, "
"মাদ্রাসা মদিনাতুল উলূম এতিমখানা, "
"জিঞ্জিরা, "
"বীর উত্তম এ. কে. খন্দকার সড়ক, "
"শামীম ওসমান মীয়াজি, "
"মহিলা পলিটেকনিক, "
"স্থল, "
"বাবুল ভাই এর হোটেল, "
"ঢাড্ডা, "
"ডাচ-বাংলা এটিএম, "
"শ্রী কালী মন্দির, "
"রূপালী ব্যাংক কৃষি বিশ্ববিদ্যালয়ের শাখা, "
"গন্ধর্বপুর, "
"হাজী ইসহাক মেম্বার সড়ক, "
"সৌদিয়া ভবনের পাশের গলি, "
"গাজিপুর, "
"লতব্দী, "
"নির্বাচন অফিস, "
"নীলফামারী, "
বিষ্ণু চরণ দাস স্ট্রিট
"মুক্তারপুর সেতু, "
"লিলি আর্কেড, "
"বীর উত্তম রফিকুল ইসলাম এভিনিউ, "
"নীলফামারী গণগ্রন্থাগার, "
"বড় দুর্গাপুর, "
"সোনাগাজী মডেল থানা, "
"সটেশন সড়ক, "
"গুলশান ২, "
"প্রাইম ব্যাংক লিমিটেড ভূজপুর শাখা, "
"বন্দর কবরস্থান জামে মসজিদ, "
"কলমাকান্দা, "
"কাইচাইল, "
"খালিশা চাপানি ইউনিয়ন, "
"উত্তর বাজার খেয়াঘাট, "
পুকূর পার
"রাজবাড়ী স্টেডিয়াম, "
"রাজকীয় নরওয়েজীয় দূতাবাস, "
বড় বাড়ি রোড কমিললা
"গণমাঠ সড়ক, "
"ধানসিঁড়ি রেস্তোরা, "
"পিবিএস সড়ক, "
"শনির আখরা - মৃধাবাড়ি রোড, "
১ নং বড় গলি
"বরিশাল-পিরোজপর মহাসড়ক, "
"ল্যাব এইড হসপিটাল লিমিটেড, "
"এম এ খান ফার্মেসি, "
নাজির পাড়া রোড
"আমবাড়ী শিল্পীপাড়া মন্দির আমবাড়ী শিল্পীপাড়া মন্দির, "
"মুসলিমবাগ টাওয়ার জামে মসজিদ, "
"লোকনাথ পাড়া, "
"গোপালগঞ্জ-টুঙ্গিপাড়া সড়ক, "
"অষ্টগ্রাম উপজেলা সম্প্রসারিত প্রশাসনিক এরিয়া, "
হাড়ীখালী ছাগলাদাহ ব্রীজ
"কেরাণীগঞজ উপজেলা, "
"সায়েম সোবহান আনভির সড়ক, "
"জাজিরা উপজেলা, "
ফটিকছড়ি বিবিরহাট বাজার মিতালী লাইব্রেরী রোড
"সাতকল ভাটার পরথম সেত, "
"ডিআইটি এভিনিউ, "
"কালিবাড়ি মন্দির, "
"জনতা এক্সেল, "
"সান টেইলার্স, "
"হাজী কযামপ সড়ক, "
"দীন মোহাম্মদ চক্ষু হাসপাতাল ও গবেষনা কেন্দ্র, "
"রূপালী ব্যাংক এস কে রোড শাখা, "
"আই ব্লক সড়ক ১, "
"হোসাফ টাউওার শপিং কমপ্লেক্স, "
"আলমডাঙগা উপজেলা, "
"জানে আলম চৌধুরী ফিলিং ষ্টেশন, "
"হোটেল নাইট গেস্ট, "
"সেতু কুটির চর, "
"দমকেরগাঁও, "
"শহীদ রফিকুল ইসলাম সড়ক, "
"সদরপুর থানা, "
"বিরল, "
মো: মসলিম সড়ক
শহীদ গফর সড়ক
"লামা, "
"অঙ্গন কমিউনিটি সেন্টার, "
"নয়াবাড়ী, "
"বেকুটিয়া সেতু, "
"বাবল সাহেবের গলি, "
"ভালুকসী, "
"রনি মারকেট মূল সড়ক, "
"অগ্রণী ব্যাংক মথুরাপুর শাখা, "
"পিপুলকরা, "
"বীরতারা, "
"গোওয়ালপাড়া, "
"ইলিশা সড়ক, "
"মুনসিফপাড়া, "
"গাবখান সেত, "
"মতি ভিলা কলিম উদ্দীন চত্বর, "
"চুনারুঘাট, "
"ইসবপুর, "
"দমার চর, "
"বিটিবাড়ি - পিরোজপুর সড়ক, "
"নুর টেলিকম, "
"স্ট্যান্ডার্ড চার্টার্ড ব্যাংক এটিএম, "
"যাতরাবাড়ি মাদরাসা রোড, "
পরাতন সোনাকানদা
"মোল্লা বিদ্যুৎ অটো জেনারেটর সার্ভিস, "
কেডি ঘোষ রোড
"আমতলী, "
"ময়মনসিংহ কেন্দ্রীয় কারাগার, "
"ফণিসাইর, "
"কাজী গলি, "
"খিলগাও ফ্লাইওভার, "
"উপজেলা রিসোর্স সেন্টার, "
"এনআরবি গ্লোবাল ব্যাংক, "
"ফেরিঘাট সড়ক, "
"আইসিডিডিআরবি যক্ষ্মা নির্ণয় ও চিকিৎসা কেন্দ্র, "
"নিউমার্কেট ফুটওভার ব্রিজ, "
"সেক্টর ২৬, "
"গোয়াইনঘাট, "
"রাজশাহী কৃষি উন্নয়ন ব্যাংক কাঠালবাড়ি শাখা, "
"নুরজাহান উচ্চ বিদ্যালয়, "
"সিপাহীপাড়া-দিঘীরপার সড়ক, "
"শেখকুনি, "
"সাধুপাড়া, "
"বিন্দুর দোকান, "
"বাদামতলী গোলচককর, "
"দৌলতপুর স্কুল রোড, "
"কুমিরের খাঁচা, "
"মাধবপুর, "
আল-মামন বেকারী রোড পাচ পকরিয়া
"দিঘু বাবুর বাজার, "
"বাজপতি, "
"ছাত্রাবাস, "
"ডিএইচএল এক্সপ্রেস, "
"মুদিখানা বাজার শেড, "
"বেজোড়া মুন্সিপাড়া, "
"নিরঝর প্রান্তর, "
"বিরামপুর পাইলট উচ্চ বিদ্যালয়ের মাঠ, "
"গাজী ইলেক্ট্রনিক্স, "
"গাবতলী, "
"নবীপুর বাজার জামে মসজিদ, "
"সাভার ক্যান্টনমেন্ট, "
"ধানমন্ডি, "
"ইসলামী ব্যাংক বাংলাদেশ লিমিটেড, "
"বসুন্ধরা রিভারভিউ, "
"সোনারায় সংগলশী ডিগ্রী কলেজ, "
"পঞ্চগড় - বাংলাবান্ধা সড়ক, "
"বারুনটেক, "
"সবজি বাগান, "
"হাজী মুহম্মদ মুহসীন সরকারি উচ্চ বিদ্যালয় রাজশাহী, "
কবরস্থান রোড
"আশরাফাবাদ পরধান সড়ক, "
"কাঠ পট্টির গলি, "
"উপশম ফার্মেসী, "
"রেসকোর্স, "
"বালরঘাট সড়ক, "
"কেয়ার মেডিকেল কলেজ হাসপাতাল, "
"ঈশ্বরদী পশু হাসপাতাল, "
"হাওয়াকান্দি, "
কৃষ্ণচুড়া সড়ক
"সূর্যেবানু রেস্তোরা, "
"বাব বাজার সেত বড়িগঙগা ২য় সেত, "
"বাসাইল উপজেলা পরিষদ, "
"মগধরা, "
"পাইলট বাজার, "
"আইবিবিএল, "
"আশুলিয়া মডেল টাউন, "
"প্রান্ত ফিলিং স্টেশন, "
"গর সরণি, "
"নাচনিয়া বরীজ, "
"গুয়াখড়া, "
"হাসানগঞ্জ, "
"সোনালি ব্যাংক লিমিটেড, "
"জাজিরা-শরীয়তপর সড়ক, "
"ভাওয়ার ভিটি বাসস্ট্যান্ড জামে মসজিদ, "
"সেন্ট মার্টিন দ্বীপ, "
"চৌমুহনী, "
উত্তর দমদমা রোড
"বনশ্রী পুলিশ পার্ক, "
"তিথী অলংকার, "
"সরিষা, "
"পাইটি সড়কপাড় জামে মসজিদ, "
"ফ্যামিলি সুপার মার্কেট, "
"উত্তর রামপুর, "
"দেওচারা, "
"পোস্তগোলা শ্মশান ঘাট, "
"আরাপপুর কাচা বাজার।, "
"কুমারকাসা, "
সুন্দরপুর সুইস গেইট সড়ক ধুরুং খাল
"বনানী কবরস্থান, "
"লালমাটিয়া বালক উচ্চ বিদ্যালয়, "
"বঙ্গবন্ধু শেখ মুজিবুর রহমান হল খেলার মাঠ, "
"ইউনাইটেড কমার্শিয়াল ব্যাংক লিমিটে, "
"আটারকছড়া, "
"রাজশাহী মেডিকেল কলেজ, "
"বারুহাস কমিউনিটি হাসপাতাল, "
"পাঁচবিবি, "
"গোলপাতা রসনা বিলাস বারবিকিউ এবং কফি শপ, "
"জনতা পেইন্ট এবং হার্ডওয়্যার, "
"মসজিদ আমতলী এ.কে. পাইলট উচ্চ বিদ্যালয়, "
"পশ্চিম চর কৃষ্ণপুর, "
"কাজিরনগর, "
"নিউ মক্কা মদিনা হোটেল, "
"হাজী শরীয়তউল্লাহ সেতু, "
"সড়ক ৩ সেক্টর ১, "
"এফ আই ডি সি জামে মসজিদ, "
ধোপা দিঘীর পাড়
"মধবাগ সড়ক, "
"দাগনভূঁইয়া, "
"বড়দরগাহ্ হাট, "
"চিনাদি পাড়া জামে মসজিদ, "
"নিখিল দর্জির & শাড়ি বিতান, "
"রাজা বাজার সড়ক, "
"নিকেতন, "
"সড়ক নং-১১, "
"গ্লোবাল হেভি কেমিক্যাল লিমিটেড ফ্যাক্টরি, "
"সোনালি সংঘ মাঠ, "
"নিজামবাগ মূল সড়ক মনির চেয়ারমযান গলি চেয়ারমযান গলি, "
"সড়ক ৭ বলক ১, "
"সরকারী গণপাঠাগার, "
"পূর্ব আলী নগর ১ নং গলি, "
"নীলফামারী সদর উপজেলা, "
"রতন কাঠ, "
"সলপ, "
"এটিএম, "
"উপজেলা স্বাস্থ্য কমপ্লেক্স ঝিনাইগাতী, "
"এনায়েতনগর, "
"বায়তুল মামুর জামে মসজিদ, "
"নাগরপুর সবজি বাজার, "
"রাজাপুর মাধ্যমিক বিদ্যালয়, "
"মারকী, "
"শহীদ রফিক-জব্বার হল ক্যাফেটেরিয়া, "
"মার্কেন্টাইল কো-অপারেটিভ ব্যাংক লিঃ, "
"দত্তপাড়া, "
"মকতিযোদধা মেসবাহ উদদিন সাব সড়ক, "
"ব্র্যাক ব্যাংক শাখা, "
"পীতাম্বরদি, "
"মাইজদী - চনদরগঞজ সড়ক, "
"ফারিয়া সুজ, "
"উত্তর কাফরুল, "
"নাজিরপর উপজেলা, "
"কষটিয়া-িনাইদহ মহাসড়ক, "
"অগ্নিবীণা হল, "
"বালাপাড়া গণকবর, "
"সৈয়দ মাহবুব মোর্শেদ এভিনিউ, "
"নিঝুম, "
"কুষ্টিয়া বাইপাস, "
"ঢালারচর, "
"বরমী, "
অর্জুনা যাত্রী ছাউনি
"ফেনী, "
"শান্তি মিস্টান্ন ভান্ডার, "
"দনিয়া-কাজলা রোড, "
"টাঙ্গাইল জেনারেল স্টোর, "
"পূবালী ব্যাংক লিমিটেড নওগাঁ শাখা, "
"মফিজবাগ হাউজিং, "
"এআইআইবি প্রশাসন ভবন, "
"কোহিনূর ফার্মেসি, "
"সড়ক ১৪এ, "
"ফজলল করিম গলি, "
"সখিপুর, "
"তেরখাদা থানা, "
"মসজিদ সড়ক, "
"দহশ্রী, "
"বাদলগাছী, "
"সরকারি রাশিদাজ্জোহা মহিলা কলেজ, "
"হোটেল টাজমহল, "
"শালবাহান হাট, "
"চর আলেকজান্ডার, "
"বাগদি বড় মসজিদ, "
"আর্মি গল্ফ ক্লাবের প্রবেশপথ, "
"হাতিবান্ধা, "
"গয়ারেখা ইউনিয়ন, "
"আজিমপর সড়ক, "
"বাংলা বাজার সড়ক, "
"বিক্রমপুর মিষ্টান্ন ভাণ্ডার, "
"দেশবাংলা হসপিটাল অ্যান্ড ডায়াগনোষ্টিক সেন্টার, "
"সড়ক ৪এ, "
"মুক্তিযোদ্ধা চত্তর, "
"চর মিরেরবাগ, "
"পুরাতন কোট ব্যাংক মোড় বাস স্টপ, "
"অভয়পাড়া, "
"শ্রী শ্রী হরি মন্দির, "
"শরীফ পাটোয়ারী জামে মসজিদ, "
"গোলাম মোসতফা লেন, "
"হুর মহিষা, "
"সখীপুর, "
"হাসেম মার্কেট, "
"কুমিরা, "
"মিরপর ১২, "
"এম রহমত আলী সড়ক, "
"ফকিরখালি কেন্দ্রীয় জামে মসজিদ, "
"জেলা জজ আদালত, "
"শেখ মার্কেট, "
"মহাস্থানগড় যাদুঘর রেস্ট হাউজ, "
"ফার্মগেট, "
"বসন্তপুর, "
"কমিউনিটি সেনটার সড়ক, "
"ঢামরা, "
"আড়ফাঙ্গাশিয়া কাজী বাড়ী রোড ব্রীজ, "
"এটিএম এনসিসি ব্যাংক লিমিটেড, "
"৩য় কলোনী, "
"কদমতলা, "
"ব্লু মেরিন রিসোর্ট, "
"সড়ক ২এ, "
"আলীখালী, "
"গাজি বাড়ী, "
গলাকাটা ব্রিজ
"রিং রোড, "
"মধ্য বাসাবো, "
"খোঁজার দিঘী, "
"জনতা ব্যাংকের এরিয়া অফিস, "
"তারাকানদি-ভয়াপর সড়ক, "
"মাদ্রাসা দারুস সুন্নাহ, "
"মালিবাগ কলেজ রোড, "
"সনজরা, "
"হিরু জেনারেল ষ্টোর, "
"গুলশান ১, "
"ফেনী পৈার মাছ বাজার, "
"বরিশাল জেনারেল হাসপাতাল, "
"মধ্যডাঙ্গা, "
"ব্লুমিং বাডস সেন্টার ফর আটিস্টিক চিল্ড্রেন/ ব্লুমিং বাডস ইন্টারন্যাশনাল স্কুল, "
"ডাইবার হোটেল, "
চনদিবের সড়ক
"ব্র্যাক, "
"স্টেডিয়াম রোড, "
"সটেডিয়াম রোড, "
"রামপুর-সিংজানী জামে মসজিদ, "
"থানা পাড়া জামে মসজিদ, "
