,bn_phrases,en_translated,Unnamed: 0
4107,"বর্ণমালা কম্পিউটার, ","Alphabet computer,",
4108,"আলমডাঙ্গা পাইলট বালিকা উচ্চ বিদ্যালয়, ","Alamdanga Pilot Girls High School,",
4109,"বটতৈল ঈদগাহ মাঠ, ","Battail Eidgah Field,",
4110,"সড়ক ৬এ, ","Road 1,",
4111,"বাহিরদিয়া মানসা, ","Outside Mansa,",
4112,"শাহাদাত গণি ফিলিং স্টেশনের, ","Shahadat Gani Filling Station,",
4113,"তেলিগাতি, ","Teligity,",
4114,"মনু মিয়া হাসপাতাল, ","Manu Mia Hospital,",
4115,"বাথয়, ","Bathoy,",
4116,"বনানী কবরস্থান, ","Banani Cemetery,",
4117,"বাঈতুন নাঈম জামে মসজিদ, ","Baitun Naim Jame Mosque,",
4118,"সাব রেজিস্ট্রার অফিস, বেড়া, ","Sub Registrar's Office, fence,",
4119,"লেকের পাড়, হোটেল, ","Lake's Para, Hotel,",
4120,"চর সোনারামপুর, ","Char Sonrampur,",
4121,"এ আর হামজা সড়ক, ","AR Hamza Road,",
4122,"সেক্টর ২৪, ","Sector 20,",
4123,"ফকিরখালি উত্তরপাড়া মসজিদ, ","Fakirkhali Uttarpara Mosque,",
4124,"ভরিয়া আদর্শ ক্যাডেট স্কুল, ","Varia Ideal Cadet School,",
4125,"আঙ্গোরপোতা, ","Angoorpota,",
4126,"সম্ভুপুর বায়তুল মা’মুর জামে মসজিদ, ","Sabhupur Baitul Ma'amur Jame Mosque,",
4127,"আশাশুনি, ","Ashashuni,",
4128,"ধান বিপনন কেন্দ্র, ","Center for rice marketing,",
4129,"ডাচ-বাংলা ব্যাংক লিমিটেড এটিএম, ","Dutch-Bangla Bank Ltd ATM,",
4130,"ইসলাম নগর সড়ক নং ৫, ","Islam Nagar Road No. 1,",
4131,"নাটোর, ","Natore,",
4132,"পুন্ড্রনগর, ","Pundranagar,",
4133,"বেগম বাজার, ","Begum Bazar,",
4134,"মোহাম্মদিয়া হাউজিং, ","Mohammadia Housing,",
4135,লালপুর ত্রিমহিনী,Lalpur Trimhini,
4136,"যশোর-বেনাপোল মহাসড়ক, ","Jessore-Benapole highway,",
4137,"পাকুল্লা, ","Pakulla,",
4138,"সৈয়দ কামরুজ্জামান সরণী, ","Syed Kamruzzaman Swarani,",
4139,"সাশিয়ালী, ","Sashiyali,",
4140,"মাটিকাটা, ","Matikata,",
4141,"এনসিসি ব্যাংক, ","NCC Bank,",
4142,"বীরগঞ্জ, ","Birgunj,",
4143,"মহাসড়ক জামে মসজিদ, ","Highway Jama Masjid,",
4144,"মোকামিয়া বাজার, ","Mokamia Bazar,",
4145,"মল্লিক লাইব্রেরী, ","Mallick Library,",
4146,"মুনশি বাড়ী, ","Munshi's house,",
4147,"জঙ্গল, ","Jungle,",
4148,"কাপাশাটিয়া কেন্দ্রীয় ঈদগাহ মাঠ, ","Kapashatia Central Eidgah Field,",
4149,"খুলনা পুরান রেলওয়ে স্টেশন, ","Khulna Puran Railway Station,",
4150,"রাজধানী স্টোর, ","The capital store,",
4151,"পান্থশালা হোটেল এন্ড রেস্টুরেন্ট, ","Panthashala Hotel & Restaurant,",
4152,"হোসাইন মোহাম্মদ এরশাদ সরকারি প্রাথমিক বিদ্যালয়, ","Hossein Mohammad Ershad Government Primary School,",
4153,"বঙ্গবন্ধু শেখ মুজিবুর রহমান হল, ","Bangabandhu Sheikh Mujibur Rahman Hall,",
4154,"হান্নান ফার্নিচার মার্ট, ","Hannan Furniture Mart,",
4155,"সুটিবাড়ী বাজার মসজিদ, ","Sutibari Bazar Mosque,",
4156,"নাভারন, ","Navaron,",
4157,"টিটিপাড়া, ","TTPARA,",
4158,"সোনালী ব্যাংক লিমিটেড, বড়ইছড়ি শাখা, ","Sonali Bank Limited, Barachhari Branch,",
4159,"নগর কাসবা, ","City Kasba,",
4160,"ডোবার পাড় সড়ক, ","Dobar Para Road,",
4161,"সোনালী ফিলিং স্টেশন, ","Sonali Filling Station,",
4162,"রিফাত স্টোর, ","Rifat Store,",
4163,"চর কাশিমপুর, ","Char Kashimpur,",
4164,"গুদাড়া চর, ","Gudara Char,",
4165,"খান বাড়ি জামে মসজিদ, উত্তর ডামুড্যা, ","Khan Ghar Jame Mosque, North Damuda,",
4166,"ঘাটারচর টানপাড়া বাইতুর রহমান জামে মসজিদ, ","Ghatchar Tanpara Baitur Rahman Jame Mosque,",
4167,"ডাচ্ বাংলা ব্যাংক লিমিটেড, ","Dutch Bangla Bank Limited,",
4168,"মিরপুর মডেল স্কুল, ","Mirpur Model School,",
4169,"সড়ক ২৪, ","Road 20,",
4170,"এমটিবি ব্যাংক এটিএম, ","MTB Bank ATM,",
4171,"শাহজাদপুর, ","Shahzadpur,",
4172,"সেন্ট্রাল রোড, ","Central Road,",
4173,"এজিবি কলোনি মসজিদ মার্কেট, ","AGB Colony Mosque Market,",
4174,"ঋষিধাম ধ্যান মন্দির, ","Rishidham meditation temple,",
4175,"মহাকাল, ","Mahakal,",
4176,"চর লক্ষ্মীপুর, ","Char Lakshmipur,",
4177,"জজ গলি, ","Judge Golley,",
4178,"ডাচ-বাংলা এটিএম বুথ, ","Dutch-Bangla ATM booth,",
4179,"মিউচুয়াল ট্রাস্ট ব্যাংক বুথ, ","Mutual Trust Bank Booth,",
4180,"ফিরোজ, ","Turquoise,",
4181,"সড়ক নং-৯, ","Road No-1,",
4182,"গোরকঘাটা-জনতাবাজার সড়ক, ","Gorakghata-Janatabazar Road,",
4183,"ইসলামী ব্যাংক কেন্দ্রীয় হাসপাতাল, ","Islami Bank Central Hospital,",
4184,"গ্রেস ইন্টারন্যাশনাল স্কুল, ","Grace International School,",
4185,"শ্রীরামপুর, ","Srirampur,",
4186,"বাংলাদেশ সড়ক গবেষণাগার, ","Bangladesh Road laboratory,",
4187,"সড়ক নং-২, ","Road No-2,",
4188,"কুবা মসজিদ, ","Kuba Mosque,",
4189,"আইডিয়াল বাজার, ","Ideal Market,",
4190,"শনির আখড়া, ","Saturn's arena,",
4191,"নয়ামাটি বাইতুল ফালাহ জামে মসজিদ, ","Nayamati Baitul Falah Jame Mosque,",
4192,"বিআরটিসি, গুঞ্জন, ইলিশ, জিবিপি, ঢাকা-মওয়া বাস স্টপ, ","BRTC, Gunjan, Hilsa, GBP, Dhaka-Mawa Bus Stop,",
4193,"ভাওয়ার ভিটি বাসস্ট্যান্ড জামে মসজিদ, ","Bhavar VT Busstand Jame Mosque,",
4194,"নাঙ্গলকোট বাজার, ","Nangalkot Bazar,",
4195,"ব্লক এফ সড়ক ১৯, ","Block F Road 1,",
4196,"শহীদুল্লাহ্ কায়সার পাদুকা মার্কেট, ","Shahidullah Kaiser Footwear Market,",
4197,"মুরইল, ","Murille,",
4198,টেম্পু স্ট্যান্ড তাড়াশ বাজার,Tempu Stand Tarash Market,
4199,"ব্যাংক আল ফালাহ, ","Bank Al Falah,",
4200,"এডুএক্সেল, ","Aduxel,",
4201,"হাজী ইসহাক মেম্বার সড়ক, ","Haji Ishaq Member Road,",
4202,"নয়ামাটি, ","Nayamati,",
4203,"মধুমতি গলি, ","Honeymoon lane,",
4204,"কাশেম নাদিনা গলি, ","Kashem Nadina alley,",
4205,"পিকচার প্যালেস, ","Picture Palace,",
4206,"লামারবাজার ফায়ার স্টেশন, ","Lamarbazar Fire Station,",
4207,"জেলা কর্মসংস্থান ও জনশক্তি অফিস, চট্টগ্রাম, ","District Employment and Manpower Office, Chittagong,",
4208,"ছাতুয়া, ","Chhatua,",
4209,"শ্যামপুর, ","Shampur,",
4210,"কিশোরগঞ্জ সমবায় ক্লাব, ","Kishoreganj Cooperative Club,",
4211,"উত্তর মধ্য হালিশহর, ","North Middle Halishahar,",
4212,"বিষ্ণুপুর, ","Vishnupur,",
4213,"দক্ষিণ বিশিল, ","Southern bodies,",
4214,"লতার চর, ",Shovel,
4215,"আড়ুয়া, ","Pile,",
4216,"দারুল উলুম ছাতা মসজিদ মাদ্রাসা, ","Darul Uloom Umbrella Mosque Madrasa,",
4217,"চর হোগলা, ","Char Hogla,",
4218,"এনায়েত নগর-চন্দনতলা সড়ক, ","Enayet Nagar-Chandanatala Road,",
4219,"পুরান বাস স্ট্যান্ড জামে মসজিদ, ","Old Bus Stand Jame Mosque,",
4220,"দেয়ানা, ","Devana,",
4221,"প্রাথমিক শিক্ষক প্রশিক্ষণ ইনস্টিটিউট, ","Institute of Primary Teacher Training,",
4222,"কার্ত্তিককূল, ","Kartikola,",
4223,"মন্ডল বাজার, ","Mandal Market,",
4224,"দেওয়ান বাড়ির গলি, ","Dewan home lane,",
4225,"ইরা মেডিকেল হল, ","Ira Medical Hall,",
4226,"অতিশ দীপঙ্কর রোড, ","Very Dipankar Road,",
4227,"করিমগঞ্জ, ","Karimganj,",
4228,"শান্তিধারা হকার্স মার্কেট জামে মসজিদ।, ","Shantihara Hawkers Market Jame Mosque.,",
4229,"কচ্ছপিয়া, ","Turtle,",
4230,"নতুন বাজার, ","New Market,",
4231,আজিমপুর রোড,Azimpur Road,
4232,"আদি বাংলার স্বাদ রেস্টুরেন্ট, ","The taste of the original Bengal restaurant,",
4233,"র্যাংগস ইলেক্ট্রনিক সিটি, ","Rangs Electronic City,",
4234,"পাঙ্গার চৌপতি, ","Fourth of Panga,",
4235,"মহামায়া, ","Mahamaya,",
4236,"হোম ইকোনমিক্স কলেজ, ","Home Economics College,",
4237,"গাপুস গুপুস, ","Gapus Gupus,",
4238,মাদানী এভিনিউ,Madani Avenue,
4239,"আদাবাড়ী স্কুল অ্যান্ড কলেজ, ","Adabari School and College,",
4240,"স্বরুপকাঠী ডাকঘর, ","Swarupakathi Post Office,",
4241,"কেঁওচিয়া, ","Kenchia,",
4242,"লাজৈর মুন্সীবাড়ী মসজিদ, ","Lajir Munshibari Mosque,",
4243,"খাঁনদানী রেস্তোরা, ","Khani restaurant,",
4244,"মরজাল, ","Morzal,",
4245,"সরকারী সৈয়দ হাতেম আলী কলেজ, ","Government Syed Hatem Ali College,",
4246,"হাসপাতাল সড়ক, ","Hospital Road,",
4247,"তালম, ","Talm,",
4248,"লিলি ফিলিং স্টেশন, রুপাতলি, ","Lily Filling Station, Rupatli,",
4249,"ব্র্যাক ব্যাংক লিমিটেড, নারায়ণহাট শাখা, ","BRAC Bank Limited, Narayanhat Branch,",
4250,"লালমনিরহাট রেলওয়ে স্টেশন, ","Lalmonirhat Railway Station,",
4251,বেড়গোবিন্দপুর চৌগাছা সড়ক,Baragobindpur Chougachha road,
4252,"ইস্টার্ন রোড, ","Eastern Road,",
4253,"লামছড়ি, ","Lamchari,",
4254,"মেজবান রেস্টুরেন্ট, ","Hazard Restaurant,",
4255,"চুনাহাটি জামে মসজিদ, ","Chunhati Jame Mosque,",
4256,"বাচাইয়া, ","Saved,",
4257,"খান জাহান আলী বিমানবন্দর, ","Khan Jahan Ali Airport,",
4258,"কেওড়াবুনিয়া বাজার, ","Kewarabunia Bazar,",
4259,"গণ বিশ্ববিদ্যালয় ছাত্রাবাস-৩, ","Mass University hostel-1,",
4260,"বারাকপুর, ","Barakpur,",
4261,ঝাঁপা ভাসমান সেতু,Jerk,
4262,"রূপালী ব্যাংক সিলেট কৃষি শাখা, ","Silver Bank Sylhet Agricultural Branch,",
4263,হিন্দুপারা রোড,Hindupara Road,
4264,"সড়ক ৩৫, ","Road 1,",
4265,"হাজি কালা চান সড়ক, ","Haji Kala wants the road,",
4266,"আরাফাত টাওয়ার, ","Arafat Tower,",
4267,"মসজিদে আত তাকওযা, ","At the mosque, Takawa,",
4268,"কাউখালী ষ্টীমারঘাট, ","Kaukhali Stimarghat,",
4269,"সুলতানগঞ্জ সড়ক, ","Sultanganj Road,",
4270,"ঝালাংগী, ","Jhalangi,",
4271,"হাজী বিরিয়ানী হাউস, ","Haji Biriani House,",
4272,"বিউটি পার্লার এন্ড ফিটনেস সেন্টার, ","Beauty Parlor & Fitness Center,",
4273,"দুরাকুটি বাজার, ","Durakuti Market,",
4274,"সর্বতারা, ","All,",
4275,"পূবালী ব্যাঙ্ক লিমিটেড, ","Pubali Bank Limited,",
4276,বারমাসিয়া চা বাগান রোড,Bermasia Tea Garden Road,
4277,"এলেঙ্গা, ","Elenga,",
4278,"মণিহার, ","Manihar,",
4279,"ইউনিয়ন ব্যাংক লিমিটেড এটিএম, ","Union Bank Ltd ATM,",
4280,"তারগাছ বাস স্টপ, ","Targach bus stop,",
4281,গুপ্তছড়া সড়ক,Hiding road,
4282,"নন্দীপাড়া, ","Nandipara,",
4283,"নগরপাড়া, ","Nagarpara,",
4284,"ডিমলা বিএমআই, ","Dimla BMI,",
4285,"পরিবেশ অধিদপ্তর, ","Department of Environment,",
4286,"নাওভাঙ্গা, ","Nawabhanga,",
4287,"মালিটোলা, ","Malitola,",
4288,"পোড়াদিয়া, ","Porodia,",
4289,"বয়েজ স্কুল রোড, ","Boys School Road,",
4290,"বাংলাদেশ বিদ্যুৎ উন্নয়ন বোর্ড বিশ্রামাগার, ","Bangladesh Electricity Development Board Restroom,",
4291,"গজমহল, ","Gazzhal,",
4292,"সোমভাগ, ","Somg,",
4293,"গ্রামীণ শিক্ষা স্কুল, ","Rural Education School,",
4294,"আদান প্রদান এন্টারপ্রাইজ, ","The exchange entered enterprise,",
4295,"কালিয়াশ, ","Kaliash,",
4296,"সি.সি.লি চাইনিজ এন্ড থাই রেস্টুরেন্ট (স্টেডিয়াম), ","CCL Chinese & Thai Restaurant (Stadium),",
4297,"নাগেশ্বরী দারুন নাজাত জামে মসজিদ, ","Nageshwari Great Nazat Jame Mosque,",
4298,ধানুয়া দক্ষিণ পাড়া,Dhanua,
4299,"উত্তরখান জেনারেল হাসপাতাল, ","Uttarakhand General Hospital,",
4300,"রৌজাতুল আফজাল কিন্ডারগার্টেন, ","Ratna Afzal Kindergarten,",
4301,"সুলতান উদ্দিন নূরী মার্কেট, ","Sultan Uddin Noori Market,",
4302,"শহীদ মিনার, পঞ্চগড়, ","Shaheed Minar, Panchagarh,",
4303,"করাইল দারুস সুন্নাহ মহিলা মাদ্রাসা, ","Kareil Darus Sunnah Female Madrasa,",
4304,হাজার ফিট রোড,Thousand Fit Road,
4305,"মাউসাইদ, ","Mouseyed,",
4306,"সি. এন্ড বি. রোড, ","C.End B.Road,",
4307,"রানাভোলা সড়ক, ","Ranavola Road,",
4308,"বালাগঞ্জ, ","Balaganj,",
4309,"আদাবর কেন্দ্রীয় মসজিদ, ","Adabar Central Mosque,",
4310,"টং, ","Tong,",
4311,"এআইআইবি প্রশাসন ভবন, ","AIIB administration building,",
4312,"শাহ জালাল এভিনিউ, ","Shah Jalal Avenue,",
4313,"ভিংরা, ","Vingra,",
4314,"ভাইবোন ছড়া বাজার, ","Siblings spread market,",
4315,"নূর-মদিনা জামে মসজিদ, ","Noor-Medina Jame Mosque,",
4316,"মহিষাখোলা, ","Mahsakhola,",
4317,"হুমায়ুন রোড, ","Humayun Road,",
4318,"পুরান বাজার, ","Old market,",
4319,"ধোলাইখাল, ","Dholaikhal,",
4320,"নীলফামারী ঈদগাহ, ","Nilphamari Eidgah,",
4321,"মদন পল লেন, ","Madan Paul Lane,",
4322,"ক্রিস তং, ","Chris Tang,",
4323,"ইসলামি ব্যাংক হাসপাতাল ভবন ৫, ","Islamic Bank Hospital Building 1,",
4324,"বারৈপাড়া, ","Baripara,",
4325,"ঝালকাঠি সরকারি কলেজ, ","Jhalakathi Government College,",
4326,"হুজুরপাড়া সড়ক, ","Huzurpara Road,",
4327,"মানিক খালী, ","Manik Khali,",
4328,"হেমায়েত ইসলামি মহিলা মাদ্রাদা, ","Hemayat Islamic woman Madrasa,",
4329,"স্ট্যান্ডার্ড ব্যাংক, ","Standard Bank,",
4330,"নন্দীর হাট, ","Nandi Hat,",
4331,"লালবাগ সড়ক, ","Lalbagh road,",
4332,"পল্লী বিদ্যুৎ জামে মসজিদ, ","Rural Electricity Jama Masjid,",
4333,"মাসুদ হোমিও হল, ","Masud Homeo Hall,",
4334,"চর পাড়া, ","Char Para,",
4335,"মেসাস্ চোকদার ফিলিং স্টেশন, ","Mesus Chokdar Filling Station,",
4336,"এমএস ক্লাব মাঠ, ","MS Club Field,",
4337,"পদার্থবিজ্ঞান অনুষদ, ","Faculty of Physics,",
4338,"পাইটি ওয়াসা রোড, ","Pitti WASA Road,",
4339,"মোমেনশাহী ফিলিং স্টেশন, ","Momenshahi Filling Station,",
4340,"আদিতমারী, ","Aditmari,",
4341,"তুকপাড়া জামে মসজিদ, ","Tukpara Jame Mosque,",
4342,"মেসার্স এল এম ফিলিং স্টেশন, ","Messrs. LM Filling Station,",
4343,আমীরবাগ,Amirbagh,
4344,"বরিশাল জেনারেল হাসপাতাল, ","Barisal General Hospital,",
4345,"দপদপিয়া, ","Dadpapia,",
4346,"হুজুরপাড়া মসজিদ গলি, ","Hujurpara Mosque Mosque,",
4347,"সড়ক ৬/এ, ","Road 1/A,",
4348,"উপজেলা সাব রেজিস্টার অফিস, ","Upazila Sub Register Office,",
4349,"রাঢ়া, ","Raw,",
4350,"নলিয়ান, ","Nalian,",
4351,"কাঁঠালবাড়ি, ","Kanthalbari,",
4352,পরিসংখ্যান এভিনিউ,Statistics Avenue,
4353,"সোবহানপুর, ","Sobhanpur,",
4354,"বাংলাদেশ টেক্সটাইল বিশ্ববিদ্যালয়, ","Bangladesh Textile University,",
4355,"ফুলবাড়ীয়া, ","Fulbaria,",
4356,"হাজী রশিদ গলি, ","Haji Rashid alley,",
4357,"বড়খাতা রেলওয়ে স্টেশন, ","Barakhata Railway Station,",
4358,"সড়ক ২২, ","Road 22,",
4359,"ফার্স্ট সিকিউরিটি ইসলামিক ব্যাংক লিমিটেড, ","First Security Islamic Bank Limited,",
4360,"তারা মেডিকেল সেন্টার, ","They are in medical center,",
4361,"পালবাড়ী, ","Palbari,",
4362,"হাসান স্টোর্স, হেতালিয়া বাধঘাট, ","Hasan Store, Hetalia Badghat,",
4363,"করটিয়া, ","Cartia,",
4364,"বায়তুল মেহরান জামে মসজিদ, ","Baitul Mehran Jame Mosque,",
4365,"বাড্ডা, ","Badda,",
4366,"মিরপুর রোড-১৩, ","Mirpur Road-1,",
4367,"কৃষ্ণপাড়া, ","Krishnapara,",
4368,ইখড়ি নেবুদিয়া ওয়াবদা রোড,Ikhari Nebudia Wabada Road,
4369,"হোসাইন উদ্দিন খান ১ম লেন, ","Hossain Uddin Khan 1st Lane,",
4370,"দোছড়ি, ","Bark,",
4371,"চেয়ারম্যান বাড়ি, ","Chairman's house,",
4372,"কাঁঠালবাড়ী ইউনিয়ন পরিষদ, ","Kanthalbari Union Council,",
4373,"রয়েল হোটেল রেস্টুরেন্টে, ","At the Royal Hotel Restaurant,",
4374,"এগারো চত্বর, ","Eleven square,",
4375,"সাউথইস্ট ব্যাংক লিমিটেড, ","Southeast Bank Limited,",
4376,"বরিশাল কেন্দ্রীয় কারাগার, ","Barisal Central Jail,",
4377,"পন্ডিত বাড়ী, ","Pandit house,",
4378,"ব্যাপারী বাড়ি, ","The dealer house,",
4379,"বানিয়াচং রাজবাড়ী, ","Baniachong Rajbari,",
4380,"পুরান ফাঁড়ি গলি, ","Old -fashioned alley,",
4381,"বিসমিল্লাহ টেলিকম এন্ড ক্লথ স্টোর, ","Bismillah Telecom & Cloth Store,",
4382,"পাগলা রেল স্টেশন, ","Pagla Rail Station,",
4383,"জুরাইন, ","Zurine,",
4384,"জকিগঞ্জ, ","Jakiganj,",
4385,"ঢাকা ময়মনসিংহ মহাসড়ক, ","Dhaka Mymensingh highway,",
4386,"ফজলুল হক এভিনিউ, ","Fazlul Haque Avenue,",
4387,"ক্যাফে বাগদাদ রেস্টুরেন্ট, ","Cafe Baghdad Restaurant,",
4388,"আদি টাঙ্গাইল সুইটস, ","Adi Tangail Suites,",
4389,"পাকাপুল-বরিশুর ঘাট লেন, ","Pakpool-Barisur Ghat Lane,",
4390,"দ্বীপ্ত কফি হাউজ এন্ড ফাস্টফুড, ","Dwight Coffee House & Fastfood,",
4391,"চান্দ্রা ইমাম আলী উচ্চ বিদ্যালয় ও কলেজ, ","Chandra Imam Ali High School and College,",
4392,"কল্যাণপুর প্রধান সড়ক, ","Kalyanpur main road,",
4393,"মাহী সওয়ার গ্রন্হাগার, ",Mahi Sawawar,
4394,"মাওয়া চৌরাস্তা বাস স্টপ, ","Mawa Chowrasta bus stop,",
4395,"বড়গ্রাম সুলতান মাহমুদ গলি, ","Baragram Sultan Mahmud Goli,",
4396,"তারাকান্দা, ","Tarakanda,",
4397,"জিরাবো, ","Girabo,",
4398,"ফকিরাপুল, ","Fakirapool,",
4399,"দহেরপাড় নতুন জামে মসজিদ, ","Dahrpara New Jame Mosque,",
4400,"চিনাইয়া আরাজি, ","Chinaya Araji,",
4401,"সরকার হাট, ","Government Hat,",
4402,"টংকাবতী, ","Tankabati,",
4403,"নারুলী, ","Naruli,",
4404,"ঢাকা শিশু হাসপাতাল, ","Dhaka Children's Hospital,",
4405,"লামা, ","Lama,",
4406,"তহুরা হোমিও এন্ড হারবাল চিকিৎসা কেন্দ্র, ","Tahura Homo and Herbal Medical Center,",
4407,"উত্তর আগ্রাবাদ, ","North Agrabad,",
4408,"ভাটিপাড়া, ","Bhatipara,",
4409,"সৈয়দপুর, ","Saidpur,",
4410,"মাছরাঙা টেলিভিশন, ","Fisheries Television,",
4411,"বাংলাবাজার সড়ক, ","Bangla Bazar Road,",
4412,"কুসুমপুর খেলার মাঠ, ","Kusumbpur playground,",
4413,"বহলবাড়িয়া প্রাথমিক বিদ্যালয়, ","Bahlabariya Primary School,",
4414,"বাসাইল উপজেলা স্বাস্থ্য কমপ্লেক্স, ","Basil Upazila Health Complex,",
4415,"শহীদ ফারুক ইকবাল বালিকা উচ্চ বিদ্যালয়, ","Shaheed Farooq Iqbal Girls High School,",
4416,"গোবিন্দশ্রী সবজি বাজার, ","Govindashree vegetable market,",
4417,"রাইচো, ","Richo,",
4418,"দীপ্ত হোটেল এন্ড রেঁস্তোরা, ","Lighting Hotel & Restaurant,",
4419,"পূবালী ব্যাংক লিমিটেড, নওগাঁ শাখা, ","Pubali Bank Limited, Naogaon Branch,",
4420,"মুসলিমবাগ সড়ক নং ৭, ","Muslimbagh Road No. 1,",
4421,"শ্রী শ্রী ঠাকুর রামচন্দ্র দেবের সমাধি আশ্রম, ","Sri Sri Thakur Ramchandra Dev's Tomb Ashram,",
4422,"নগর ভবন, ","The city building,",
4423,"নওপাড়া জামে মসজিদ, ","Naopara Jame Mosque,",
4424,পিসি কলেজ রোড,PC College Road,
4425,"এএসএ ব্রাঞ্চ অফিস, সীতাকুণ্ড, ","ASA Branch Office, Sitakunda,",
4426,"মেজবান সুইটস্, ","Hostest suits,",
4427,"কোম্পানিগঞ্জ, ","Companyganj,",
4428,"লাইন রোড, ","Line Road,",
4429,"মুরাগাঁও, ","Mucaon,",
4430,"গজরা, ","Yard,",
4431,"ধানুয়া দক্ষিণপাড়া মসজিদ, ","Dhanua Southpara Mosque,",
4432,"ক্যাফে শুকরিয়া এন্ড রেস্টুরেন্ট, ","Cafe Shukriya & Restaurant,",
4433,"হারবাং, ","Harbang,",
4434,বারোমাসিয়া বৈদ্যের হাট সড়ক লিংক কাজিরহাট রোড,Hat Road Links of Baromasia Vidyas Kazirhat Road,
4435,"এক্সিম ব্যাংক লিমিটেডের এটিএম, ","ATM of Axim Bank Limited,",
4436,"বাকেরগঞ্জ কেন্দ্রীয় ঈদগাহ, ","Bakerganj Central Eidgah,",
4437,"সড়ক নং-৮, ","Road No-1,",
4438,"উপলতা, ","Equilibrium,",
4439,"শ্রীফলতলী, ","Srifaltali,",
4440,"কচুয়া জামে মসজিদ, ","Kachua Jame Mosque,",
4441,"সিলেট কৃষি বিশ্ববিদ্যাল, ","Sylhet Agricultural University,",
4442,"চড়াইকোল, ","Sparrow,",
4443,"অগ্রণী ব্যাংক লিমিটেড এটিএম, ","Agrani Bank Ltd ATM,",
4444,"রুস্তমপুর, ","Rustampur,",
4445,"ইছামতি, ","Ichamati,",
4446,"আকানিয়া, ","Akania,",
4447,"রমনা পার্ক, ","Ramna Park,",
4448,"শাহজাহানপুর কবরস্থান, ","Shahjahanpur Cemetery,",
4449,"চকপুস্তম জামে মসজিদ, ","Chakpostam Jame Mosque,",
4450,অর্জুনা পূর্ব পাড়া রাস্তা,Arjuna,
4451,"হাসানপুর, ","Hasanpur,",
4452,"বুড়াবুড়ি হাট, ","Old Hut,",
4453,"সেক্টর ৫ মিনি পার্ক, ","Sector 5 Mini Park,",
4454,"গৌরিপুর, ","Gauripur,",
4455,"বসুনিয়া পাড়া মসজিদ, ","Basunia Para Mosque,",
4456,"পিনাকল মেডিসিন কর্ণার, ","Pincoal Medicine Corner,",
4457,"হামিদ বিল্ডিং, ","Hamid building,",
4458,"আলিপুর বাইতুস সালাত জামে মসজিদ, ","Alipur Baitus Salat Jame Mosque,",
4459,"মুকুন্দ দাস কালীবাড়ি মন্দির, ","Mukund Das Kalibari Temple,",
4460,"ডালিয়া ১নং বাজার, ","Dalia No. 4 Market,",
4461,"ছাগড়া, ","The trap,",
4462,"মধ্য রসুলপুর ৩ নং গলি; আলোড়ন গলি, ","Mid Rasulpur No. 4 lane;Stir lane,",
4463,"খোরশেদ আলম মিয়া রেসিডেন্স, ","Khorshed Alam Mia Residence,",
4464,"রূপালী ব্যাংক শ্রীমঙ্গল শাখা, ","Rupali Bank Srimangal Branch,",
4465,"সাহারপাড়, ","Sahaarpara,",
4466,"রামু বাইপাস, ","Ramu bypass,",
4467,"ধামইরহাট, ","Dhamirhat,",
4468,"স্বরূপকাঠী কলেজিয়েট একাডেমি মাঠ, ","Swarupkathi Collegiate Academy Field,",
4469,"আলহাজ্ব আব্দুস সোবহান সড়ক, ","Alhaj Abdus Sobhan Road,",
4470,"সোমা ফার্মেসী, ","Soma Pharmacy,",
4471,"সড়ক ২০৭, ","Road 20,",
4472,"শিমুলতলী সড়ক, ","Shimultali road,",
4473,"যুদ্ধ জয়, ","Win war,",
4474,"জিরো পয়েন্ট, ","Zero Point,",
4475,"আদর্শ স্কুল রোড, ","Ideal School Road,",
4476,"চারুকলা ইনস্টিটিউট, ","Institute of Fine Fine,",
4477,"রেডি লাইট কমপ্লেক্স লিমিটেড, ","Ready Light Complex Ltd.,",
4478,"আড়কান্দি, ",Lap,
4479,"রূপগঞ্জ, ","Rupganj,",
4480,"হোটেল স্বাদ এন্ড মিনি চাইনিজ, ","Hotel taste & mini chinese,",
4481,"পুলিশ লাইন সড়ক, ","Police line road,",
4482,"মেঘনা শিল্পনগরী স্কুল এন্ড কলেজ, ","Meghna Industrial School and College,",
4483,"বর্ণি রামকৃষ্ণপুর মাধ্যমিক বিদ্যালয় মাঠ, ","Bhasi Ramakrishnapur Secondary School grounds,",
4484,"মুলাদি, ","Muladi,",
4485,"মাহিন'স জিগস, ","Mahin's Jigs,",
4486,"ইস্টার্ন লুব্রিকেন্টস্ ব্লেন্ডারস লিমিটেড (এলবিবি), ","Eastern Lubricants Blenders Ltd (LBB),",
4487,"গোলাপবাগ মসজিদ গলি, ","Golapbag Mosque Mosque,",
4488,"জিহাদ ইলেকট্রনিক্স, ","Jihad Electronics,",
4489,"রহমান পোল্ট্রি এন্ড মেডিসিন সেন্টার, ","Rahman Poultry & Medicine Center,",
4490,"এবাদত প্লাজা, ","Plaza to worship,",
4491,"বিসমিল্লাহ্‌ হোটেল অ্যান্ড রেস্টুরেন্ট, ","Bismillah Hotel and Restaurant,",
4492,"সেগুন বাগান মাঠ লেন, ","Segun garden field lane,",
4493,"কস্তুরী, ","Musk,",
4494,"মসজিদে ফাতেমা মুঃ আল খুবাইলী, ","Fatima Mu Al -Shili in the mosque,",
4495,"বেলী সড়ক, ","Belly Road,",
